Function,Best,Median,Mean,Worst,SD
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3,0.00E+00,0.00E+00,0.00E+00,1.75E-06,2.52E-07
4,1.94E-04,3.99E+00,8.31E+00,6.83E+01,1.81E+01
5,1.28E+02,1.59E+02,1.59E+02,1.76E+02,1.05E+01
6,0.00E+00,1.37E-07,5.63E-07,4.37E-06,9.39E-07
7,1.61E+02,1.89E+02,1.87E+02,2.04E+02,1.00E+01
8,1.25E+02,1.56E+02,1.55E+02,1.78E+02,1.03E+01
9,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
10,5.31E+03,6.74E+03,6.73E+03,7.09E+03,2.99E+02
11,0.00E+00,6.68E+00,3.19E+01,1.04E+02,3.89E+01
12,4.27E+02,5.62E+03,5.93E+03,1.82E+04,3.76E+03
13,3.54E+01,9.13E+01,1.04E+02,2.21E+02,4.18E+01
14,2.44E+01,6.16E+01,5.83E+01,8.12E+01,1.40E+01
15,1.89E+00,1.16E+01,1.83E+01,9.56E+01,1.99E+01
16,3.77E+02,8.14E+02,8.07E+02,1.28E+03,1.85E+02
17,6.08E+01,1.83E+02,1.67E+02,3.45E+02,8.41E+01
18,2.45E+01,3.62E+01,3.71E+01,6.08E+01,8.73E+00
19,3.44E+00,1.78E+01,1.49E+01,2.45E+01,6.35E+00
20,2.53E+01,7.29E+01,1.39E+02,4.99E+02,1.11E+02
21,3.27E+02,3.49E+02,3.49E+02,3.73E+02,9.69E+00
22,1.00E+02,1.00E+02,1.00E+02,1.00E+02,0.00E+00
23,3.51E+02,4.93E+02,4.79E+02,5.21E+02,4.44E+01
24,4.26E+02,5.70E+02,5.64E+02,5.88E+02,2.99E+01
25,3.83E+02,3.87E+02,3.87E+02,3.87E+02,9.52E-01
26,3.00E+02,9.32E+02,9.49E+02,2.35E+03,3.75E+02
27,4.84E+02,4.93E+02,4.96E+02,5.30E+02,8.75E+00
28,3.00E+02,3.00E+02,3.06E+02,4.05E+02,2.45E+01
29,3.76E+02,5.40E+02,5.61E+02,7.45E+02,9.97E+01
30,2.01E+03,2.12E+03,2.12E+03,2.36E+03,8.91E+01
